Updated.Search.Term,Original,UniqueID,Type,Gender,Nationality
"""A.P.C""","""A.P.C""",Associated_companies-001,Associated_companies,ORGANISATION,FRANCE
"""Shanghai Tang""","""Shanghai Tang""",Associated_companies-002,Associated_companies,ORGANISATION,CHINA
"""Acne Studios""",Acne Studios,Associated_companies-003,Associated_companies,ORGANISATION,SWEDEN
Adidas,Adidas,Associated_companies-004,Associated_companies,ORGANISATION,GERMANY
Agnona,Agnona,Associated_companies-005,Associated_companies,ORGANISATION,ITALY
Ala•a OR Alaia,Ala•a,Associated_companies-006,Associated_companies,ORGANISATION,FRANCE
"""Alexander McQueen""",Alexander McQueen,Associated_companies-007,Associated_companies,ORGANISATION,UK
"""Altuzarra""",Altuzarra,Associated_companies-008,Associated_companies,ORGANISATION,USA
"""Anrealage""",Anrealage,Associated_companies-009,Associated_companies,ORGANISATION,JAPAN
"""Balenciaga""",Balenciaga,Associated_companies-010,Associated_companies,ORGANISATION,FRANCE
"""Balmain""",Balmain,Associated_companies-011,Associated_companies,ORGANISATION,FRANCE
"""Band of Outsiders""",Band of Outsiders,Associated_companies-012,Associated_companies,ORGANISATION,USA
"""Belstaff""",Belstaff,Associated_companies-013,Associated_companies,ORGANISATION,UK
"""Benetton""",Benetton,Associated_companies-014,Associated_companies,ORGANISATION,ITALY
"""Berluti""",Berluti,Associated_companies-015,Associated_companies,ORGANISATION,FRANCE
"""Bottega Veneta""",Bottega Veneta,Associated_companies-016,Associated_companies,ORGANISATION,ITALY
"""Brioni""",Brioni,Associated_companies-017,Associated_companies,ORGANISATION,ITALY
"""Brooks Brothers""",Brooks Brothers,Associated_companies-018,Associated_companies,ORGANISATION,USA
"""burberry""",burberry,Associated_companies-019,Associated_companies,ORGANISATION,UK
"""Calvin Klein""",Calvin Klein,Associated_companies-020,Associated_companies,ORGANISATION,USA
"""Carven""",Carven,Associated_companies-021,Associated_companies,ORGANISATION,FRANCE
CŽline OR Celine,CŽline,Associated_companies-022,Associated_companies,ORGANISATION,FRANCE
"""Chalayan & Vionnet""",Vionnet,Associated_companies-023,Associated_companies,ORGANISATION,FRANCE
"""Chanel""",Chanel,Associated_companies-024,Associated_companies,ORGANISATION,FRANCE
"""Charlotte Olympia""","""Charlotte Olympia""",Associated_companies-025,Associated_companies,ORGANISATION,UK
"""Chloe_""",Chloe_,Associated_companies-026,Associated_companies,ORGANISATION,FRANCE
"""Comme des Garc_ons"" OR ""Comme des Garcons""",Comme des Garc_ons,Associated_companies-027,Associated_companies,ORGANISATION,FRANCE
"""CondŽ Nast"" OR ""Conde Nast""",CondŽ Nast,Associated_companies-028,Associated_companies,ORGANISATION,USA
"""converse""",converse,Associated_companies-029,Associated_companies,ORGANISATION,USA
"""Creatures of the Wind""",Creatures of the Wind,Associated_companies-030,Associated_companies,ORGANISATION,USA
"""diesel""",diesel,Associated_companies-031,Associated_companies,ORGANISATION,ITALY
"""Dior""",Dior,Associated_companies-032,Associated_companies,ORGANISATION,FRANCE
"""dkny""",dkny,Associated_companies-033,Associated_companies,ORGANISATION,USA
"""Dolce & Gabbana""",Dolce & Gabbana,Associated_companies-034,Associated_companies,ORGANISATION,ITALY
"""dunhill""",dunhill,Associated_companies-035,Associated_companies,ORGANISATION,UK
"""Fabindia""",Fabindia,Associated_companies-036,Associated_companies,ORGANISATION,INDIA
"""Fendi""",Fendi,Associated_companies-037,Associated_companies,ORGANISATION,ITALY
"""Ferragamo""",Ferragamo,Associated_companies-038,Associated_companies,ORGANISATION,ITALY
"""Givenchy""",Givenchy,Associated_companies-039,Associated_companies,ORGANISATION,FRANCE
"""Gucci""",Gucci,Associated_companies-040,Associated_companies,ORGANISATION,ITALY
(Hennes AND Mauritz) OR H\&M,H&M,Associated_companies-041,Associated_companies,ORGANISATION,SWEDEN
"""Herme_s"" OR ""Hermes""",Herme_s,Associated_companies-042,Associated_companies,ORGANISATION,FRANCE
"""Hood by Air""",Hood by Air,Associated_companies-043,Associated_companies,ORGANISATION,USA
"""hugo boss""",hugo boss,Associated_companies-044,Associated_companies,ORGANISATION,GERMANY
"""Imaginex""",Imaginex,Associated_companies-045,Associated_companies,ORGANISATION,CHINA
"""Inditex""",Inditex,Associated_companies-046,Associated_companies,ORGANISATION,SPAIN
"""J.Crew"" OR Jcrew",J.Crew,Associated_companies-047,Associated_companies,ORGANISATION,USA
"""J.W.Anderson""",J.W.Anderson,Associated_companies-048,Associated_companies,ORGANISATION,UK
"""Jimmy Choo""",Jimmy Choo,Associated_companies-049,Associated_companies,ORGANISATION,UK
"""Kate Spade""",Kate Spade,Associated_companies-050,Associated_companies,ORGANISATION,USA
"""kenzo""",kenzo,Associated_companies-051,Associated_companies,ORGANISATION,ITALY
"""lacoste""",lacoste,Associated_companies-052,Associated_companies,ORGANISATION,FRANCE
"""Lalesso""",Lalesso,Associated_companies-053,Associated_companies,ORGANISATION,SOUTH AFRICA
"""Lanvin""",Lanvin,Associated_companies-054,Associated_companies,ORGANISATION,FRANCE
"""Lanvin""",Lanvin,Associated_companies-055,Associated_companies,ORGANISATION,FRANCE
"""Louis Vuitton""",Louis Vuitton,Associated_companies-056,Associated_companies,ORGANISATION,FRANCE
"""lvmh""",lvmh,Associated_companies-057,Associated_companies,ORGANISATION,FRANCE
"""Marc Jacobs""",Marc Jacobs,Associated_companies-058,Associated_companies,ORGANISATION,USA
"""Margiela""",Margiela,Associated_companies-059,Associated_companies,ORGANISATION,BELGIUM
"""marni""",marni,Associated_companies-060,Associated_companies,ORGANISATION,ITALY
"""Michael Kors""",Michael Kors,Associated_companies-061,Associated_companies,ORGANISATION,USA
"""Missoni""",Missoni,Associated_companies-062,Associated_companies,ORGANISATION,ITALY
"""Miu Miu""",Miu Miu,Associated_companies-063,Associated_companies,ORGANISATION,ITALY
"""Moncler""",Moncler,Associated_companies-064,Associated_companies,ORGANISATION,ITALY
"""mulberry""",mulberry,Associated_companies-065,Associated_companies,ORGANISATION,UK
"""Net-a-Porter"" OR netaporter",Net-a-Porter,Associated_companies-066,Associated_companies,ORGANISATION,UK
"""Nike""",Nike,Associated_companies-067,Associated_companies,ORGANISATION,USA
"""Nina Ricci""",Nina Ricci,Associated_companies-068,Associated_companies,ORGANISATION,FRANCE
"""Oscar de la Renta""",Oscar de la Renta,Associated_companies-069,Associated_companies,ORGANISATION,USA
